timestamp target_q_0 target_q_1 target_q_2 target_q_3 target_q_4 target_q_5 target_qd_0 target_qd_1 target_qd_2 target_qd_3 target_qd_4 target_qd_5 target_qdd_0 target_qdd_1 target_qdd_2 target_qdd_3 target_qdd_4 target_qdd_5 target_current_0 target_current_1 target_current_2 target_current_3 target_current_4 target_current_5 target_moment_0 target_moment_1 target_moment_2 target_moment_3 target_moment_4 target_moment_5 actual_q_0 actual_q_1 actual_q_2 actual_q_3 actual_q_4 actual_q_5 actual_qd_0 actual_qd_1 actual_qd_2 actual_qd_3 actual_qd_4 actual_qd_5 actual_current_0 actual_current_1 actual_current_2 actual_current_3 actual_current_4 actual_current_5 joint_control_output_0 joint_control_output_1 joint_control_output_2 joint_control_output_3 joint_control_output_4 joint_control_output_5 actual_TCP_pose_0 actual_TCP_pose_1 actual_TCP_pose_2 actual_TCP_pose_3 actual_TCP_pose_4 actual_TCP_pose_5 actual_TCP_speed_0 actual_TCP_speed_1 actual_TCP_speed_2 actual_TCP_speed_3 actual_TCP_speed_4 actual_TCP_speed_5 actual_TCP_force_0 actual_TCP_force_1 actual_TCP_force_2 actual_TCP_force_3 actual_TCP_force_4 actual_TCP_force_5 target_TCP_pose_0 target_TCP_pose_1 target_TCP_pose_2 target_TCP_pose_3 target_TCP_pose_4 target_TCP_pose_5 target_TCP_speed_0 target_TCP_speed_1 target_TCP_speed_2 target_TCP_speed_3 target_TCP_speed_4 target_TCP_speed_5 actual_digital_input_bits joint_temperatures_0 joint_temperatures_1 joint_temperatures_2 joint_temperatures_3 joint_temperatures_4 joint_temperatures_5 actual_execution_time robot_mode joint_mode_0 joint_mode_1 joint_mode_2 joint_mode_3 joint_mode_4 joint_mode_5 safety_mode actual_tool_accelerometer_0 actual_tool_accelerometer_1 actual_tool_accelerometer_2 speed_scaling target_speed_fraction actual_momentum actual_main_voltage actual_robot_voltage actual_robot_current actual_joint_voltage_0 actual_joint_voltage_1 actual_joint_voltage_2 actual_joint_voltage_3 actual_joint_voltage_4 actual_joint_voltage_5 actual_digital_output_bits runtime_state
24575.592999999997 -3.511110414677887e-05 -1.5698172611049195 1.5700939337359827 -9.850864746141497e-06 1.570040225982666 3.139897346496582 0.0 0.0 -0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 -1.807938275141258e-19 -2.709778674208245 -2.718279096380965 -0.2947250026248689 -2.787410969591158e-06 0.0102155454269879 -1.801845873963035e-18 -27.278249992946932 -27.230973468797046 -2.379694855951733 -2.2271085832650443e-05 0.08167167346239507 -3.511110414677887e-05 -1.5698291820338746 1.5700462500201624 2.0700642089366283e-06 1.5700163841247559 3.1398611068725586 0.0 0.0 -0.0 0.0 -0.0 -0.0 0.029363218694925308 -2.738611936569214 -2.717136859893799 -0.2844274044036865 -0.001559325261041522 0.008630067110061646 -1.807938275141258e-19 -2.709778674208245 -2.718279096380965 -0.2947250026248689 -2.787410969591158e-06 0.0102155454269879 -0.6053616414855656 -0.1330502553412215 0.45283629901147865 -1.2100347300356538 -1.209423732049655 1.2084300995994588 0.0 0.0 0.0 0.0 0.0 0.0 8.637897617296785 6.520969685373024 4.94572639518869 -0.2893992920343693 -0.5165619986511072 0.32793721880540916 -0.6053602912620897 -0.13304646702261108 0.452802770013134 -1.2101078614318161 -1.2094241370887902 1.208416675500387 0.0 0.0 0.0 0.0 0.0 0.0 0 33.125 34.125 33.0625 36.1875 38.375 39.0 0.914462 7 253 253 253 253 253 253 1 -0.2298433631658554 -9.366117477416992 -0.05746084079146385 1.0 1.0 0.24056162723269997 47.7639045715332 47.826595306396484 0.6277561187744141 47.71392822265625 47.68526077270508 47.7282600402832 47.670928955078125 47.584930419921875 47.68526077270508 0 2
24575.601 -2.3190175191700746e-05 -1.5698291820338746 1.5700700918780726 2.591192211909288e-05 1.5699687004089355 3.1399097442626953 0.0 0.0 -0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 -4.238675878399593e-19 -2.7097209212748297 -2.718278522879902 -0.294724262599699 -2.7930567867953035e-06 0.010215393735891087 -4.224392363154224e-18 -27.277668617438106 -27.230967723620893 -2.3796888807746206 -2.2316195248133377e-05 0.08167046071601608 -4.7032033101856996e-05 -1.569865183239319 1.5701053778277796 1.3990993164014753e-05 1.570028305053711 3.139885425567627 0.0 0.0 -0.0 0.0 -0.0 -0.0 0.009421933442354202 -2.7253775596618652 -2.7083702087402344 -0.2957478165626526 0.012359029613435268 0.0013018781319260597 -4.238675878399593e-19 -2.7097209212748297 -2.718278522879902 -0.294724262599699 -2.7930567867953035e-06 0.010215393735891087 -0.6053432116765072 -0.13304138620175257 0.45281979928892013 -1.2100897816557534 -1.2094204649770104 1.2084139547345614 0.0 0.0 0.0 0.0 0.0 0.0 8.90441207491165 6.660955214932752 5.4945898823289046 -0.2903551170227409 -0.5341644706518314 0.3351688904151538 -0.6053536280328728 -0.13306932219301698 0.45281683996553534 -1.2100774438014459 -1.2094796757277246 1.2084873405338183 0.0 0.0 0.0 0.0 0.0 0.0 0 33.125 34.125 33.0625 36.1875 38.375 39.0 0.881761 7 253 253 253 253 253 253 1 -0.19153612852096558 -9.481039047241211 -0.05746084079146385 1.0 1.0 0.08367276196069415 47.76301193237305 47.845401763916016 0.6299919486045837 47.71392822265625 47.6995964050293 47.7282600402832 47.670928955078125 47.584930419921875 47.68526077270508 0 2
24575.609 -4.7032033101856996e-05 -1.569865183239319 1.5700700918780726 4.975378002924913e-05 1.5700044631958008 3.1398730278015137 0.0 0.0 -0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.0702642759888218e-19 -2.7095526000825485 -2.7182829133005075 -0.29472968507047803 -2.663169431685981e-06 0.010215842546459943 2.0632878870889952e-18 -27.275974195821366 -27.231011705648783 -2.3797326633709543 -2.1278410556254966e-05 0.0816740488856824 -4.7032033101856996e-05 -1.5698531431010743 1.5700700918780726 2.591192211909288e-05 1.5700044631958008 3.1398730278015137 0.0 0.0 -0.0 0.0 -0.0 -0.0 -0.006200279109179974 -2.7193450927734375 -2.726349353790283 -0.30228590965270996 -0.0027795745991170406 0.008612620644271374 2.0702642759888218e-19 -2.7095526000825485 -2.7182829133005075 -0.29472968507047803 -2.663169431685981e-06 0.010215842546459943 -0.6053498489259723 -0.13304601024637994 0.4528313264012231 -1.2100609868933498 -1.2094355438855815 1.208427738516005 0.0 0.0 0.0 0.0 0.0 0.0 8.655960532445558 6.04196526544072 5.293167908298979 -0.29449161612524327 -0.5240219394259137 0.3186694914521886 -0.6053431424725494 -0.1330460217481286 0.4528335504878412 -1.2100696815193883 -1.209444244090857 1.2084221995751234 0.0 0.0 0.0 0.0 0.0 0.0 0 33.125 34.125 33.0625 36.1875 38.375 39.0 0.976466 7 253 253 253 253 253 253 1 -0.19153612852096558 -9.442731857299805 -0.05746084079146385 1.0 1.0 0.02424257068498542 47.78361129760742 47.85973358154297 0.6971306204795837 47.71392822265625 47.7282600402832 47.7282600402832 47.68526077270508 47.599266052246094 47.65659713745117 0 2
24575.617 -2.3190175191700746e-05 -1.5698531431010743 1.5700576941119593 2.0700642089366283e-06 1.5700044631958008 3.139897346496582 0.0 0.0 -0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 -5.286068443663545e-20 -2.7096263661845823 -2.7182990034769485 -0.29474964783730445 -2.1606855937697108e-06 0.010215546038363041 -5.268255418707355e-19 -27.276716769446082 -27.23117289261754 -2.379893848520176 -1.7263623786080817e-05 0.08167167835024283 -3.511110414677887e-05 -1.5698291820338746 1.5700939337359827 3.7832851074171e-05 1.5700044631958008 3.1398611068725586 0.0 0.0 -0.0 0.0 -0.0 -0.0 0.028890222311019897 -2.733977794647217 -2.7274374961853027 -0.293537974357605 0.004995105788111687 0.003381558693945408 -5.286068443663545e-20 -2.7096263661845823 -2.7182990034769485 -0.29474964783730445 -2.1606855937697108e-06 0.010215546038363041 -0.6053504027420734 -0.13305282623819725 0.4527998611042162 -1.2100905590785407 -1.2094939428345777 1.2083995274467927 0.0 0.0 0.0 0.0 0.0 0.0 8.547586445399018 6.013677434752628 5.315382019454332 -0.3018164004809374 -0.5259783263774946 0.32095082944166026 -0.6053515570448396 -0.13306127419331829 0.4528438973643513 -1.2100409277891955 -1.2094149098264495 1.2084802805849137 0.0 0.0 0.0 0.0 0.0 0.0 0 33.125 34.125 33.0625 36.1875 38.375 39.0 0.883909 7 253 253 253 253 253 253 1 -0.26815059781074524 -9.385271072387695 -0.019153613597154617 1.0 1.0 0.09262242992382176 47.80331039428711 47.868690490722656 0.6322330832481384 47.742591857910156 47.75692367553711 47.78559112548828 47.7282600402832 47.64226531982422 47.7282600402832 0 2
24575.625 -7.087389101201325e-05 -1.5698412221721192 1.5701053778277796 -3.416955981450087e-05 1.5700044631958008 3.1398611068725586 0.0 0.0 -0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.2797730216515265e-19 -2.7096757263401052 -2.7182911432544614 -0.2947399386958979 -2.4051348562100543e-06 0.010215988474454887 3.268720822969659e-18 -27.277213658241784 -27.23109415106731 -2.379815454106213 -1.9216744644443336e-05 0.08167521555697149 -1.0792409078419496e-05 -1.5698412221721192 1.5700576941119593 -2.177179370121962e-05 1.5700163841247559 3.139885425567627 0.0 0.0 -0.0 0.0 -0.0 -0.0 -0.04286327213048935 -2.69425892829895 -2.7137985229492188 -0.292446494102478 -0.01793157309293747 0.006208846345543861 3.2797730216515265e-19 -2.7096757263401052 -2.7182911432544614 -0.2947399386958979 -2.4051348562100543e-06 0.010215988474454887 -0.6053565806370127 -0.1330658190111399 0.45284173835619457 -1.2100231532950678 -1.2094121311044936 1.208477439763151 0.0 0.0 0.0 0.0 0.0 0.0 8.627902308464565 6.433948748500373 5.50355850234663 -0.28786780033619136 -0.5283439010174192 0.33012760421832216 -0.6053598218733426 -0.13303114908645697 0.4528155277096235 -1.210054016250941 -1.2094141025424718 1.2084074349489895 0.0 0.0 0.0 0.0 0.0 0.0 0 33.125 34.125 33.0625 36.1875 38.375 39.0 0.892393 7 253 253 253 253 253 253 1 -0.2106897532939911 -9.385271072387695 0.0 1.0 1.0 0.06673702192838064 47.78450393676758 47.86779022216797 0.6478998064994812 47.7282600402832 47.71392822265625 47.77125930786133 47.68526077270508 47.61359786987305 47.68526077270508 0 2
24575.632999999998 -2.3190175191700746e-05 -1.5698412221721192 1.5700824896441858 2.591192211909288e-05 1.5700044631958008 3.1398611068725586 0.0 0.0 -0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 -2.360502419340763e-19 -2.7096633443395173 -2.7182787008480362 -0.2947244836691419 -2.7941124670341253e-06 0.010215988020212632 -2.3525479842151137e-18 -27.27708901363126 -27.230969506456788 -2.3796906657531984 -2.232463000908794e-05 0.08167521192537636 -1.0792409078419496e-05 -1.5698412221721192 1.5700700918780726 3.7832851074171e-05 1.5700163841247559 3.1398611068725586 0.0 0.0 -0.0 0.0 -0.0 -0.0 0.0634169727563858 -2.690138339996338 -2.7419188022613525 -0.2927398979663849 -0.007549125235527754 0.0013779143337160349 -2.360502419340763e-19 -2.7096633443395173 -2.7182787008480362 -0.2947244836691419 -2.7941124670341253e-06 0.010215988020212632 -0.6053468838584718 -0.13306500405916855 0.4528215684594074 -1.210058273828565 -1.2094766806048938 1.2084255924282314 0.0 0.0 0.0 0.0 0.0 0.0 8.533157549216556 6.291642304510801 5.600717697642468 -0.29776353869024486 -0.5335300462544074 0.3275926623033569 -0.6053484680020718 -0.13306003240176914 0.4528166064723621 -1.2100588444724867 -1.2094766545535547 1.2084250212434846 0.0 0.0 0.0 0.0 0.0 0.0 0 33.125 34.125 33.0625 36.1875 38.375 39.0 0.889597 7 253 253 253 253 253 253 1 -0.28730422258377075 -9.500192642211914 -0.038307227194309235 1.0 1.0 0.03808763358394939 47.79793930053711 47.86421203613281 0.6456586718559265 47.7282600402832 47.71392822265625 47.77125930786133 47.68526077270508 47.599266052246094 47.670928955078125 0 2
24575.641 -3.511110414677887e-05 -1.5698531431010743 1.5700824896441858 2.591192211909288e-05 1.570040225982666 3.139885425567627 0.0 0.0 -0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 -1.4886094212695895e-19 -2.7096104391843245 -2.718282998776502 -0.29472980745146876 -2.666644360372038e-06 0.010215691195793226 -1.483593096366933e-18 -27.276556438752362 -27.23101256192382 -2.3797336515104455 -2.130617482778643e-05 0.0816728388609883 -4.7032033101856996e-05 -1.5698291820338746 1.5700576941119593 2.591192211909288e-05 1.5700044631958008 3.1398611068725586 0.0 0.0 -0.0 0.0 -0.0 -0.0 0.027901554480195045 -2.701465606689453 -2.70906400680542 -0.2934756875038147 -0.006041583605110645 0.018645143136382103 -1.4886094212695895e-19 -2.7096104391843245 -2.718282998776502 -0.29472980745146876 -2.666644360372038e-06 0.010215691195793226 -0.6053584741624517 -0.13304558834336827 0.45282431495101066 -1.2100607093949411 -1.2094497043661343 1.2084134733983163 0.0 0.0 0.0 0.0 0.0 0.0 8.653796866405093 6.424858362618001 5.1657931239668935 -0.2904608575451276 -0.5204971309911861 0.33038869623826694 -0.6053465989155705 -0.13304606413322534 0.45282381684296474 -1.2100905689687453 -1.2094212841918455 1.208413427310851 0.0 0.0 0.0 0.0 0.0 0.0 0 33.125 34.125 33.0625 36.1875 38.375 39.0 0.913477 7 253 253 253 253 253 253 1 -0.28730422258377075 -9.327810287475586 0.09576806426048279 1.0 1.0 0.035226118067255 47.780921936035156 47.86421203613281 0.6478998064994812 47.7282600402832 47.71392822265625 47.77125930786133 47.68526077270508 47.584930419921875 47.71392822265625 0 2
24575.648999999998 -7.087389101201325e-05 -1.5698531431010743 1.5700700918780726 2.591192211909288e-05 1.5700044631958008 3.139897346496582 0.0 0.0 -0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 -6.348024623691823e-19 -2.7096142815228252 -2.7182868598599272 -0.29473458936122904 -2.5396733680890367e-06 0.01021554560458782 -6.3266330124689535e-18 -27.276595118025757 -27.231051241197214 -2.3797722620319717 -2.0291691531910514e-05 0.0816716748822784 -2.3190175191700746e-05 -1.5698291820338746 1.5700576941119593 2.0700642089366283e-06 1.5700163841247559 3.1398611068725586 0.0 0.0 -0.0 0.0 -0.0 -0.0 -0.027618609368801117 -2.721129894256592 -2.7235777378082275 -0.28636056184768677 0.004004578106105328 0.01677369698882103 -6.348024623691823e-19 -2.7096142815228252 -2.7182868598599272 -0.29473458936122904 -2.5396733680890367e-06 0.01021554560458782 -0.6053585146111666 -0.13305747682426342 0.45282937652894334 -1.2100375266828718 -1.2094409379152746 1.2084334745865233 0.0 0.0 0.0 0.0 0.0 0.0 8.626540792278824 6.238999362268222 5.596981184836367 -0.2968667423881394 -0.5317886886007455 0.3250100602984308 -0.6053530212786338 -0.13303242529295783 0.45283133200737946 -1.210090172939083 -1.209406467750563 1.2084280895427981 0.0 0.0 0.0 0.0 0.0 0.0 0 33.125 34.125 33.0625 36.1875 38.375 39.0 0.880105 7 253 253 253 253 253 253 1 -0.19153612852096558 -9.366117477416992 -0.019153613597154617 1.0 1.0 0.04800725527200777 47.78898239135742 47.870479583740234 0.6478998064994812 47.71392822265625 47.71392822265625 47.75692367553711 47.68526077270508 47.61359786987305 47.68526077270508 0 2
24575.657 -3.511110414677887e-05 -1.5698172611049195 1.5700338522540491 3.7832851074171e-05 1.5700163841247559 3.1398611068725586 0.0 0.0 -0.0 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 -2.0514710960088449e-19 -2.7097826448025093 -2.7182830863458527 -0.29472990734475774 -2.6598094201400334e-06 0.010215988214637777 -2.044558036478957e-18 -27.278289963319416 -27.23101343916953 -2.3797344580777327 -2.1251564459158105e-05 0.0816752134797747 -3.511110414677887e-05 -1.5698772233775635 1.5700700918780726 2.0700642089366283e-06 1.5699925422668457 3.1398491859436035 0.0 0.0 -0.0 0.0 -0.0 -0.0 0.032355666160583496 -2.6983211040496826 -2.74068284034729 -0.290788859128952 -0.011623846367001534 0.009049950167536736 -2.0514710960088449e-19 -2.7097826448025093 -2.7182830863458527 -0.29472990734475774 -2.6598094201400334e-06 0.010215988214637777 -0.6053444803435734 -0.13305491855476587 0.4528509713661887 -1.2099968526576497 -1.209429079861962 1.2084503834901446 0.0 0.0 0.0 0.0 0.0 0.0 8.77637849807224 6.374726079886663 5.563513982226078 -0.29244689559519615 -0.5280044735041536 0.32863130014968067 -0.6053619551430538 -0.1330502660415325 0.4528289813709601 -1.2100607061014446 -1.2094497339004358 1.2084134524833554 0.0 0.0 0.0 0.0 0.0 0.0 0 33.125 34.125 33.0625 36.1875 38.375 39.0 0.879506 7 253 253 253 253 253 253 1 -0.26815059781074524 -9.346963882446289 0.0 1.0 1.0 0.0865499387975672 47.76927947998047 47.84450912475586 0.6389458775520325 47.71392822265625 47.6995964050293 47.742591857910156 47.68526077270508 47.599266052246094 47.670928955078125 0 2
24575.664999999997 -3.511110414677887e-05 -1.569865183239319 1.5700824896441858 -9.850864746141497e-06 1.5700044631958008 3.139897346496582 0.0 0.0 5.45109969607438e-07 0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.925228620981727e-15 -2.7095683273886935 -2.7182981902415144 -0.2947493011004283 -2.1694122861322848e-06 0.010215546028525728 -1.6271494644948984e-18 -27.276132516274572 -27.23117002610199 -2.3798910488664595 -1.7333349030478668e-05 0.08167167827159486 -2.3190175191700746e-05 -1.5698772233775635 1.5701053778277796 3.7832851074171e-05 1.5700163841247559 3.1398730278015137 0.0 0.0 7.3133459288499125e-09 0.0 -0.0 -0.0 -0.011420373804867268 -2.72774076461792 -2.732436180114746 -0.29020991921424866 0.0030265788082033396 0.014654679223895073 -1.632651182182233e-19 -2.7095683273886584 -2.7182987173325945 -0.29474930110043324 -2.1694122859728838e-06 0.010215546028525702 -0.6053333312436966 -0.1330579311867872 0.45282202484245615 -1.2100724194583123 -1.2094613659101847 1.2084256277361145 9.84694644647422e-10 -3.207986977092511e-12 -4.423771389859634e-09 -1.034681815395644e-11 -7.313337994143709e-09 3.0002989416160574e-12 8.752955321796767 6.640427072551783 5.155811541740227 -0.28432034518503463 -0.5180381837535941 0.33913873453253424 -0.605347914926973 -0.13305406362260036 0.452838721699608 -1.2100471963838844 -1.209406728011396 1.2084711201630038 7.338641801890403e-08 -2.399701624393451e-10 -3.297359800478929e-07 -7.777150027117358e-10 -5.451093689507959e-07 2.2362214009840528e-10 0 33.125 34.125 33.0625 36.1875 38.375 39.0 0.874682 7 253 253 253 253 253 253 1 -0.24899697303771973 -9.404424667358398 -0.05746084079146385 1.0 1.0 0.0922298479967333 47.754947662353516 47.83107376098633 0.6590895652770996 47.68526077270508 47.71392822265625 47.77125930786133 47.68526077270508 47.584930419921875 47.64226531982422 0 2
